SZ_FCT_BRAND,SZ_FCT_CATG_ID,SZ_FCT_SORT_ORDER_NUMBER,SZ_FCT_NUMBER_OF_DIM,DIMENSION,SZ_FCT_NAME,SZ_FCT_ALPH_ALT_CTG_ID,SZ_FCT_ALPH_ALT_CTG,SZ_FACET_WEB_NAME,SZ_DIM1_NAME,SZ_DIM2_NAME,SZ_VARIANT_SORT_ORDER,SZ_FACET_DESCRIPTION,SZ_FCT_VAL_NM,SZ_FCT_VAL_NM_2,COL_POS_NBR,DEPARTMENT_TAG_NAME,PRODUCT_TYPE_TAG_NAME,CATEGORY_GROUP_TAG_NAME
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XS,,1,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XS,,1,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XS,,1,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,S,,2,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,S,,2,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,S,,2,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,S,,2,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,M,,3,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,M,,3,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,M,,3,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,M,,3,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,L,,4,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,L,,4,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,L,,4,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,L,,4,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XL,,5,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XL,,5,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XL,,5,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XL,,5,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXL,,6,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXL,,6,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXL,,6,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXL,,6,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,1X,,0,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,1X,,0,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,1X,,0,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,1X,,0,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,2X,,1,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,2X,,1,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,2X,,1,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,2X,,1,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,3X,,2,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,3X,,2,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,3X,,2,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,3X,,2,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,4X,,3,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,4X,,3,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,4X,,3,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,7,Plus,4X,,3,Women,Apparel,Dresses
AT,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,5,,0,Women,Accessories,Rings
BR,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,5,,0,Women,Accessories,Rings
GAP,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,5,,0,Women,Accessories,Rings
ON,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,5,,0,Women,Accessories,Rings
AT,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,6,,1,Women,Accessories,Rings
BR,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,6,,1,Women,Accessories,Rings
GAP,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,6,,1,Women,Accessories,Rings
ON,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,6,,1,Women,Accessories,Rings
AT,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,7,,2,Women,Accessories,Rings
BR,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,7,,2,Women,Accessories,Rings
GAP,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,7,,2,Women,Accessories,Rings
ON,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,7,,2,Women,Accessories,Rings
AT,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,8,,3,Women,Accessories,Rings
BR,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,8,,3,Women,Accessories,Rings
GAP,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,8,,3,Women,Accessories,Rings
ON,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,8,,3,Women,Accessories,Rings
AT,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,9,,4,Women,Accessories,Rings
BR,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,9,,4,Women,Accessories,Rings
GAP,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,9,,4,Women,Accessories,Rings
ON,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,9,,4,Women,Accessories,Rings
AT,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,"One Size",,5,Women,Accessories,Rings
BR,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,"One Size",,5,Women,Accessories,Rings
GAP,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,"One Size",,5,Women,Accessories,Rings
ON,8,15,1,1,"Women's Rings",,,Rings,size,,1,Regular,"One Size",,5,Women,Accessories,Rings
AT,9,14,1,1,"Women's Gloves",,,Gloves,size,,1,Regular,XS,,0,Women,Accessories,Gloves
BR,9,14,1,1,"Women's Gloves",,,Gloves,size,,1,Regular,XS,,0,Women,Accessories,Gloves
GAP,9,14,1,1,"Women's Gloves",,,Gloves,size,,1,Regular,XS,,0,Women,Accessories,Gloves
